586,19489341
12,34693000
12,38996376
7846,16452172
1116721,30476884
428333,39105685
12,14662891
12,39211668
10350,44558906
1441581,60215794
428333,34645851
12,20747008
12,46703729
13568,23785000
2998231,51994999
657863,49959175
12,59090097
13,48506788
13568,40984309
5479972,49846982
734493,34693000
12,36575605
13,40337603
38073,40045004
5679002,48979211
783214,34693000
13,34693000
20,26526108
38073,46575047
5679002,38814278
783214,34693000
13,52690507
291,35177446
77973,35540389
5679002,44634414
807095,20235373
13,15759590
291,16132610
77973,22752200
5860132,20988664
813286,24185375
20,34693000
291,26680462
428333,25456524
6073282,32064738
816653,28429668
20,43017418
291,17178680
651583,37781038
6352582,23397450
8841372,34693000
20,60903343
291,52047484
651583,50364443
6515122,30961549
14089195,30977642
20,18769019
291,45842727
657863,48525811
6616312,31381117
14094741,34693000
20,40538952
586,24435102
657863,29249621
6616312,38253739
14094741,27625585
20,35549219
586,18956946
734493,55525978
6616312,51775754
14178674,56053555
291,34693000
586,22316351
734493,59142474
6616312,19124865
14506253,51595078
291,26953644
586,45072588
734753,19728462
6741632,12218912
14515734,28942591
586,34693000
586,30155163
734753,40142698
7006772,43603432
14575107,21219777
586,37870063
989,47382300
734753,17916412
7614292,14544383
14934818,34693000
586,50816298
3475,43501582
756417,25730640
9077472,39114112
15076390,34693000
989,34693000
3475,48368793
756417,41361187
10337242,22168844
