652314,4008998
4045051,2381198
532864,3394734
1684437,733215
18079,2304742
1609751,967021
1647924,2110309
493653,3961533
107553,2001125
2070048,1651789
2745030,2631678
2812586,1438890
759559,1378857
1741942,493103
3038874,3635895
767088,2196885
1701941,1313108
1642206,2141641
3214559,338384
1571709,2035791
768151,105426
1483631,4012432
2075305,1324828
3654842,1209469
854844,4169539
969361,3888755
3711182,3261581
3299622,1209469
4155459,3360988
489307,2918167
2065160,2761153
3534801,782978
3803167,1064645
3210978,2414588
2540068,49331
2675986,1915610
1359363,554194
1842099,3900168
2810558,3405404
3710691,2369879
541323,2789920
1721359,2789920
60775,3566563
1557679,3836242
2744731,2899178
3864929,3261581
2141041,234027
2621933,2369879
3229148,1429415
3298735,722249
2329483,1810295
1009384,146755
2863869,1486964
3680441,234027
1721467,2414588
497221,1124933
838356,722249
225319,1099601
2610580,2257036
3993903,234027
1576362,1724296
1334332,3603982
3567058,3671871
1496825,279360
2329812,510152
1931229,191662
962969,3124373
4061860,2967280
3984343,2765244
2309795,3750889
569981,124826
1406575,2446718
1710151,510152
101340,3284134
3256958,3284134
695437,3511351
2971144,678048
3878896,722249
11286,2587939
4010739,3204518
3987406,179774
3417591,1632073
2908742,2473207
1930070,1974488
3034438,1017679
676714,1191234
582026,3238577
297948,234807
336928,3742546
3687833,3548052
503243,3423544
2446467,3878617
3301795,4179423
3411615,239551
311454,602288
281637,4169539
1845227,1257926
1209715,1408490
104884,234807
2782129,728305
